cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr,maxcorr,nearest
w32_h,A10QjL3l,2.39,1.79,4.18,0.2133,0.1191,0.0452,2.15,C,,GOOD,TOP3000,SUBINDUSTRY,8,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7949,9qVEA1ZV
w119_b,akL0jNj1,2.6,1.68,4.28,0.2311,0.0961,0.0316,2.95,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_cicurr/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",0.7952,akLmmvPW
w43_c,883G25GW,2.54,2.56,5.1,0.1261,0.1281,0.0386,1.8,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,27,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7957,RRV5l5Go
w43_f,j23VMQlj,2.47,2.4,4.87,0.1302,0.1225,0.0386,1.73,C,,EXCELLENT,TOP3000,SUBINDUSTRY,25,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 40))",0.7958,RRV5l5Go
w67_f,KPO5mKO1,2.36,1.77,4.13,0.2746,0.1536,0.0477,2.44,C,,GOOD,TOP3000,INDUSTRY,3,0.08,1,N,"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_rank(close, 10), industry)",0.7966,qMW92Az2
w43_e,GrdQ7pmP,2.56,2.56,5.12,0.1289,0.1291,0.0384,1.82,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.12,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7969,RRV5l5Go
w42_b,vRkYPVZb,2.56,2.56,5.12,0.1289,0.1291,0.0384,1.82,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.797,RRV5l5Go
w43_d,QP3WoPmp,2.56,2.56,5.12,0.1289,0.1291,0.0384,1.82,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.1,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.797,RRV5l5Go
w112_f,WjPrPL0G,2.63,1.81,4.44,0.2469,0.1164,0.0361,2.42,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_tstkc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",0.7976,kqVp6wnO
w43_b,9qVGkOLx,2.58,2.56,5.14,0.1323,0.1304,0.0382,1.85,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,23,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7978,RRV5l5Go
w43_a,xAYl5pPJ,2.59,2.56,5.15,0.1342,0.1313,0.0381,1.87,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,22,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7981,RRV5l5Go
w44_g,d5O9POpx,2.61,2.57,5.18,0.1364,0.1322,0.0379,1.89,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,21,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7983,RRV5l5Go
w42_a,RRV5P0Yn,2.63,2.58,5.21,0.1387,0.1332,0.0378,1.91,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,20,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7984,RRV5l5Go
w42_d,ZY0XNjnn,2.63,2.58,5.21,0.1387,0.1332,0.0377,1.91,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,20,0.04,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7984,RRV5l5Go
w65_g,vRkp90Jw,2.64,1.52,4.16,0.4038,0.1332,0.0447,3.25,C,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, subindustry) + group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7986,N1QJPJE8
w60_c,RRV9Ewa1,2.72,1.5,4.22,0.481,0.146,0.0622,3.39,C,,AVERAGE,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_newqv1300_mibtq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.799,rK59235m
