leg,appear,pass_quality,pass_rate
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_median/assets, industry)",4,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, industry)",4,2,0.5
"group_rank(annual_deferred_income_tax_expense/assets, subindustry)",4,0,0.0
"0.4*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",4,3,0.75
"0.35*group_rank(ts_av_diff(cash/assets, 45), subindustry)",4,3,0.75
"0.35*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",4,3,0.75
"0.35*group_rank(-ts_delta(close, 10), subindustry)",4,3,0.75
"0.35*rank(volume/ts_mean(volume, 120))",4,3,0.75
"group_rank(anl4_fs_guidances_advanced_af_nd_custom_eps_minguidance/assets, subindustry)",4,0,0.0
"group_rank(anl4_fs_detail_estimates_advanced_af_nd_tbvps_low/assets, subindustry)",4,0,0.0
"group_rank(fnd6_gp/assets, subindustry)",4,0,0.0
"group_rank(fnd6_xrent/assets,subindustry)",3,0,0.0
"group_rank(ts_av_diff(ebit/enterprise_value,30),subindustry)",3,0,0.0
"group_rank(ts_av_diff(ebitda/enterprise_value,60),subindustry)",3,0,0.0
"close > ts_sum(close, 20) / 20 ? 1.6 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))",3,0,0.0
"rank(ts_delay(close, 2) - ts_regression(close, vwap, 60, rettype=3))",3,0,0.0
"group_zscore(fnd6_xopr/assets, subindustry)",3,0,0.0
"group_rank(ts_av_diff(assets_curr/assets, 30), subindustry)",3,0,0.0
"group_rank(-ts_mean(abs(returns)/volume, 60), subindustry)",3,1,0.3333
"group_rank(ts_delta(liabilities_curr/assets, 60), subindustry)",3,0,0.0
"group_rank(-historical_volatility_30, subindustry)",3,0,0.0
"group_rank((ts_std_dev(returns,20) < group_mean(ts_std_dev(returns,20),1,market) ? -ts_delta(close,10) : ts_delta(close,10)), subindustry)",3,0,0.0
"0.5*(group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")))",3,0,0.0
"group_rank(fnd6_xintopt/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",3,3,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",3,3,1.0
"group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",3,3,1.0
