leg,appear,pass_quality,pass_rate
rank(fscore_bfl_growth),1,0,0.0
rank(fscore_bfl_momentum),1,0,0.0
rank(fscore_bfl_total),1,0,0.0
rank(fscore_bfl_surface_accel),1,0,0.0
"rank(-ts_delta(implied_volatility_mean_skew_30, 20))",1,0,0.0
rank(implied_volatility_mean_skew_10-implied_volatility_mean_skew_150),1,0,0.0
"group_rank(anl4_fs_guidances_advanced_af_nd_ebitda_minguidance/assets, subindustry)",1,0,0.0
"group_rank(anl4_fs_guidances_advanced_qf_nd_soe_minguidance/assets, subindustry)",1,0,0.0
"group_rank(-(anl4_fs_guidances_advanced_qf_nd_ffoa_maxguidance-anl4_fs_guidances_advanced_af_nd_ffoa_minguidance)/assets, subindustry)",1,0,0.0
"group_rank(-anl4_fs_guidances_advanced_qf_nd_custom_eps_maxguidance/assets, subindustry)",1,0,0.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry)",1,0,0.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, subindustry)",1,0,0.0
"0.35*group_rank(ts_av_diff(cash/assets, 75), subindustry)",1,0,0.0
"0.35*group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry)",1,0,0.0
"0.35*group_rank(-ts_delta(close, 8), subindustry)",1,0,0.0
"0.35*rank(volume/ts_mean(volume, 150))",1,0,0.0
"group_rank(anl4_fs_detail_estimates_advanced_af_nd_cff_median/assets, subindustry)",1,0,0.0
"group_rank(anl4_fs_detail_estimates_basic_qf_delay1_v4_nd_div_mean/assets, market)",1,0,0.0
"group_rank(anl4_fs_detail_estimates_basic_qf_v4_nd_cfps_median/assets, market)",1,0,0.0
"0.30*group_rank(ts_av_diff(cash/assets, 45), subindustry)",1,1,1.0
"0.30*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",1,1,1.0
"0.30*group_rank(-ts_delta(close, 10), subindustry)",1,1,1.0
"0.30*rank(volume/ts_mean(volume, 120))",1,1,1.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_netdebt_low/assets, subindustry)",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_median/assets, subindustry)",1,0,0.0
"group_rank(dividend/close, subindustry)",1,0,0.0
"group_rank(-(high-low)/close, subindustry)",1,0,0.0
"1.0*group_rank(ts_av_diff(cash/assets, 60), subindustry)",1,1,1.0
"1.0*group_rank(ts_av_diff(cashflow_op/enterprise_value, 30), subindustry)",1,1,1.0
"1.0*group_rank(-ts_delta(close, 15), subindustry)",1,1,1.0
"1.0*rank(volume/ts_mean(volume, 200))",1,1,1.0
"group_rank(-actual_return_on_pension_plan_assets/assets, subindustry)",1,1,1.0
"group_rank(-ts_delta(close, 15), subindustry)",1,1,1.0
"rank(volume/ts_mean(volume, 200))",1,1,1.0
"group_rank(-ts_delta(close, 120)/assets, subindustry)",1,1,1.0
"group_rank(-(close/vwap), subindustry)",1,1,1.0
"group_rank(-common_stock_repurchase_payment/assets, subindustry)",1,1,1.0
rank(authorized_stock_buyback_amount/assets) - rank(annual_intangible_assets_net_carrying_value/assets),1,0,0.0
"ts_zscore(authorized_stock_buyback_amount/assets, 250)",1,0,0.0
"-ts_zscore(annual_intangible_assets_net_carrying_value/assets, 250)",1,0,0.0
"ts_zscore(ts_av_diff(cash/assets, 45), 250)",1,0,0.0
"ts_zscore(ts_av_diff(cashflow_op/enterprise_value, 45), 250)",1,0,0.0
"-ts_zscore(ts_delta(close, 10), 60)",1,0,0.0
"ts_zscore(volume/ts_mean(volume, 120), 250)",1,0,0.0
"group_neutralize(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), subindustry)",1,1,1.0
"quantile(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), driver=""gaussian"")",1,1,1.0
"group_rank(authorized_stock_buyback_amount/assets, market)",1,1,1.0
"group_rank(-annual_intangible_assets_net_carrying_value/assets, sector)",1,1,1.0
"group_rank(-ts_corr(close, volume, 10), subindustry)",1,1,1.0
"ts_decay_linear(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), 5)",1,1,1.0
"normalize(scale(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))))",1,1,1.0
"group_rank(ts_delta(authorized_stock_buyback_amount/assets, 66), subindustry)",1,1,1.0
"group_rank(fnd6_oibdp/assets, subindustry)",1,0,0.0
"group_rank(ts_delta(fnd6_gp/assets, 66), subindustry)",1,0,0.0
"group_rank(fnd6_sale/assets, subindustry)",1,0,0.0
"group_rank(ts_delta((eps - est_epsr), 66), subindustry)",1,0,0.0
"group_rank(news_max_up_amt/close, subindustry)",1,0,0.0
"group_rank(news_ton_last, subindustry)",1,0,0.0
"group_rank(-news_pct_90min, subindustry)",1,0,0.0
"group_rank(ts_rank(cashflow_op/enterprise_value,120),subindustry)",1,0,0.0
"group_rank(ts_rank(cash/assets,120),subindustry)",1,0,0.0
"group_rank(-ts_delta(close, 1), subindustry)",1,1,1.0
"0.4*group_rank(ts_av_diff(cashflow_op/enterprise_value,60),subindustry)",1,0,0.0
"0.6*group_rank(ts_av_diff(cash/assets,30),subindustry)",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value,90),subindustry)",1,0,0.0
"group_rank(ts_av_diff(cash/assets,90),subindustry)",1,0,0.0
"0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value,60),subindustry)",1,1,1.0
"0.25*group_rank(ts_av_diff(cash/assets,30),subindustry)",1,1,1.0
"0.25*group_rank(fnd6_xopr/assets,subindustry)",1,1,1.0
